id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
scl12_alltype_buzzvec,sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,0.9525,116,176,[]
scl12_alltype_sentvec,sentiment,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,0.9525,37,68,[]
scl12_alltype_typevec,instrument type index,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,0.9525,48,69,[]
scl12_buzz,relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,13195,19927,[]
scl12_buzz_fast_d1,relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9756,99,114,[]
scl12_buzzvec,Vector representing the volume of social media sentiment/mentions related to the instrument,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,1.0,2525,4112,[]
scl12_sentiment,sentiment,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,1182,3230,[]
scl12_sentiment_fast_d1,sentiment,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9756,111,125,[]
scl12_sentvec,Vector representing the sentiment score (bullish/bearish/neutral) derived from social media data for the instrument,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,1.0,335,630,[]
scl12_typevec,Vector containing the type indices identifying the categories of instruments in the dataset,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,1.0,275,530,[]
snt_buzz,"Negative relative sentiment volume measure for current day, with missing values filled as 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,2976,9131,[]
snt_buzz_bfl,"Negative relative sentiment volume measure for current day, with missing values filled as 1","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,2532,5765,[]
snt_buzz_bfl_fast_d1,"Negative relative sentiment volume measure for current day, with missing values filled as 1","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9998,108,115,[]
snt_buzz_fast_d1,"Negative relative sentiment volume measure for current day, with missing values filled as 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9769,112,125,[]
snt_buzz_ret,negative return of relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,1723,3836,[]
snt_buzz_ret_fast_d1,negative return of relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9769,42,52,[]
snt_value,"Negative sentiment score/indicator for current day, with missing values filled as 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,823,2440,[]
snt_value_fast_d1,"Negative sentiment score/indicator for current day, with missing values filled as 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9769,107,139,[]
