id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
nws18_acb,News sentiment specializing in corporate action announcements,"{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,172,502,[]
nws18_bam,"Mergers and acquisitions sentiment indicator (e.g., -1 negative, 0 neutral, +1 positive)","{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,344,956,[]
nws18_bee,"Earnings evaluation score indicating positive, neutral, or negative assessment (-1, 0, +1)","{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,235,489,[]
nws18_ber,Earnings Release Indicator flag for earnings release events,"{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,248,588,[]
nws18_event_relevance,Integer from 0 to 100 indicating the event’s relevance within the story,"{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,452,871,[]
nws18_event_similarity_days,"Number of days since a similar event was last detected within the past 365 days, up to 5 decimals","{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,286,586,[]
nws18_ghc_lna,Change in analyst recommendation,"{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,500,1379,[]
nws18_nip,"Narrative impact score in [-1, 1] estimating the news item’s short-term market impact (e.g., next two hours)","{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,310,1235,[]
nws18_qcm,News sentiment of relevant news with high confidence,"{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,260,616,[]
nws18_qep,"Equities sentiment polarity score derived from positive/negative words in news (typically -1, 0, +1)","{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,283,965,[]
nws18_qmb,"Editorials and commentary score indicating stance or sentiment (-1, 0, +1)","{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,155,469,[]
nws18_relevance,Score from 0 to 100 indicating how strongly the entity is related to the story higher is more relevant,"{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,255,644,[]
nws18_ssc,"Granular sentiment score from -1.00 to +1.00 for the story, combining multiple sentiment analysis techniques","{'id': 'news18', 'name': 'Ravenpack News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,VECTOR,1.0,0.5,309,716,[]
