id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
analyst_revision_rank_derivative,Daily-indicator variant of momentum capturing recent price moves and analyst estimate revisions,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,202,312,[]
cashflow_efficiency_rank_derivative,Ranks stocks by their ability to generate cash flows and operational profitability,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,140,181,[]
composite_factor_score_derivative,Momentum score based on analyst revisions; intraday variant,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,88,134,[]
earnings_certainty_rank_derivative,Measures the sustainability and certainty of earnings quality,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,114,146,[]
fscore_bfl_growth,"Growth composite estimating expected medium-term growth potential (e.g., revenues, earnings); higher is better (0–100)","{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3807,17,21,[]
fscore_bfl_momentum,Composite momentum measure reflecting recent price dynamics and analyst estimate revisions to identify improving or deteriorating names,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3774,19,28,[]
fscore_bfl_profitability,Profitability composite ranking firms by ability to generate cash flows and operational efficiency; higher is better (0–100),"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3797,7,18,[]
fscore_bfl_quality,"Composite measuring earnings quality, stability, and balance-sheet resilience","{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3828,22,24,[]
fscore_bfl_surface,Static composite “style surface” score aggregating the five primary style scores; larger surface implies higher rank,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.374,19,19,[]
fscore_bfl_surface_accel,Acceleration (derivative) of the pentagon surface score relative to the previous month,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3726,45,70,[]
fscore_bfl_total,Blended composite M-Score combining the static pentagon surface score and its acceleration into an overarching rating,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3726,9,10,[]
